Signal,Start Close Price,Start Date,End Close Price,End Date,Start Investment,End Investment,Profit/Loss,Highest Investment,Lowest Investment,Highest Percentage,Lowest Percentage
Buy - Sell,1661.550048828125,2024-01-31 14:15:00+05:30,1655.199951171875,2024-02-01 14:15:00+05:30,36554.10107421875,36414.39892578125,-139.7021484375,36786.19946289063,36513.39892578125,0.6349448676104334,0.0
Short Sell - Buy,1540.5,2023-01-31 14:15:00+05:30,1684.699951171875,2024-02-08 10:15:00+05:30,97051.5,32203.100463867188,64848.39953613281,102396.796875,32009.299072265625,0.0,67.01823354377251
Buy - Sell,1684.699951171875,2024-02-08 10:15:00+05:30,1674.449951171875,2024-02-13 09:15:00+05:30,32009.299072265625,31814.549072265625,-194.75,32167.0,31565.64953613281,0.4926722305863129,0.0
Short Sell - Buy,1533.0,2023-01-31 15:15:00+05:30,1644.5999755859375,2024-02-14 09:15:00+05:30,98112.0,31926.64953613281,66185.35046386719,102396.796875,31247.39953613281,0.0,68.15129695028864
Buy - Sell,1644.5999755859375,2024-02-14 09:15:00+05:30,1698.0,2024-02-16 09:15:00+05:30,31247.39953613281,32262.0,1014.6004638671911,31938.049072265625,31160.95092773437,2.2102624422687915,0.0
Short Sell - Buy,1534.949951171875,2023-02-01 09:15:00+05:30,1683.3499755859375,2024-02-20 11:15:00+05:30,98236.796875,43518.80126953125,54717.99560546875,102396.796875,30564.0,0.0,68.88742205337708
Buy - Sell,1683.3499755859375,2024-02-20 11:15:00+05:30,1678.9000244140625,2024-02-23 11:15:00+05:30,43767.099365234375,43651.400634765625,-115.69873046875,43908.80126953125,42835.0,0.3237635263748673,0.0
Short Sell - Buy,1536.3499755859375,2023-02-01 10:15:00+05:30,1661.699951171875,2024-02-26 14:15:00+05:30,98326.3984375,41501.251220703125,56825.147216796875,102396.796875,30564.0,0.0,68.91577390640659
Buy - Sell,1661.699951171875,2024-02-26 14:15:00+05:30,1674.6500244140625,2024-02-28 10:15:00+05:30,41542.49877929688,41866.25061035156,323.7518310546802,41987.5,41371.24938964844,1.0711951225353071,0.0
Short Sell - Buy,1552.9000244140625,2023-02-01 14:15:00+05:30,1664.4000244140625,2024-03-01 09:15:00+05:30,99385.6015625,40182.0,59203.6015625,102396.796875,30564.0,0.0,69.24705438264172
Buy - Sell,1664.4000244140625,2024-03-01 09:15:00+05:30,1617.449951171875,2024-03-07 14:15:00+05:30,39945.6005859375,38818.798828125,-1126.8017578125,40071.6005859375,37870.798828125,0.31542897879061355,0.0
Short Sell - Buy,1546.0,2023-02-01 15:15:00+05:30,1600.5999755859375,2024-03-11 15:15:00+05:30,98944.0,36774.70056152344,62169.29943847656,102396.796875,30564.0,0.0,69.10979948253558
Buy - Sell,1600.5999755859375,2024-03-11 15:15:00+05:30,1614.4000244140625,2024-03-12 15:15:00+05:30,36813.79943847656,37131.20056152344,317.401123046875,37331.29943847656,36813.79943847656,1.4057228753713644,0.0
Short Sell - Buy,1575.0999755859375,2023-02-02 09:15:00+05:30,1617.800048828125,2024-03-18 10:15:00+05:30,99231.29846191406,16207.5,83023.79846191406,102396.796875,16178.00048828125,0.0,83.6966756063456
Buy - Sell,1617.800048828125,2024-03-18 10:15:00+05:30,1507.949951171875,2024-03-28 12:15:00+05:30,16178.00048828125,15079.49951171875,-1098.5009765625,16220.0,14835.50048828125,0.25960879250296043,0.0
Short Sell - Buy,1580.4000244140625,2023-02-02 10:15:00+05:30,1486.9000244140625,2024-04-02 10:15:00+05:30,99565.20153808594,19343.34936523437,80221.85217285156,102396.796875,13544.549560546877,0.0,86.39630176878035
