Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage,Charge,Charge Value,% Diff,High Avg %,Low Avg %
Sell,2024-06-24 11:30:00-04:00,670.4249878,0,0,0,87934.53256,Sell Hold,88554.00525,12,17,,0.498866494,3.49226357,619.4726887,0.7,,0.498866494,3.49226357
Short Sell,2024-06-24 11:30:00-04:00,670.4249878,132,0,88496.09839,20.29040527,Sell Hold,88516.38879,12,17,0,0.498866494,3.49226357,,,0,0.498866494,3.49226357
Buy,2024-06-24 12:30:00-04:00,666.1500244,132,0,87931.80322,584.5855713,Buy,87952.09363,12,17,,0.498866494,3.49226357,615.5226226,0.7,,0.498866494,3.49226357
Buy Hold,2024-06-24 12:30:00-04:00,666.1500244,132,0,87931.80322,584.5855713,Buy Hold,87952.09363,12,17,0,0.498866494,3.49226357,,,0,0.498866494,3.49226357
Buy Hold,2024-06-24 13:30:00-04:00,666.6300049,132,63.35742188,87995.16064,584.5855713,Buy Hold,88015.45105,12,17,0.072052909,0.498866494,3.49226357,,,0.072052909,0.498866494,3.49226357
Buy Hold,2024-06-24 14:30:00-04:00,670.6500244,66,43732.25903,44262.90161,44847.48718,Buy Hold,89110.38879,12,17,0.603036092,0.498866494,3.49226357,,,-49.69848195,0.498866494,3.49226357
Buy Hold,2024-06-24 15:30:00-04:00,669.1400146,66,-99.66064453,44163.24097,584.5855713,Buy Hold,89010.72815,12,17,99.5496877,0.498866494,3.49226357,,,-0.225156149,0.498866494,3.49226357
Buy Hold,2024-06-25 09:30:00-04:00,667.9799805,66,-76.56225586,44086.67871,584.5855713,Buy Hold,88934.16589,12,17,99.6532761,0.498866494,3.49226357,,,-0.17336195,0.498866494,3.49226357
Buy Hold,2024-06-25 10:30:00-04:00,668.6400146,66,43.56225586,44130.24097,584.5855713,Buy Hold,88977.72815,12,17,100.1976209,0.498866494,3.49226357,,,0.098810473,0.498866494,3.49226357
Buy Hold,2024-06-25 11:30:00-04:00,672.2800293,33,21945,22185.24097,22614.52985,Buy Hold,44799.77082,12,17,101.0887816,0.498866494,3.49226357,155.2966868,0.7,0.544390789,0.498866494,3.49226357
Buy Hold,2024-06-25 12:30:00-04:00,669.414978,33,-94.54669189,22090.69427,584.5855713,Buy Hold,44705.22413,12,17,99.14766135,0.498866494,3.49226357,,,99.14766135,0.498866494,3.49226357
Buy Hold,2024-06-25 13:30:00-04:00,670.4199829,33,33.16516113,22123.85944,584.5855713,Buy Hold,44738.38929,12,17,100.3002636,0.498866494,3.49226357,,,100.3002636,0.498866494,3.49226357
